Cancer_Type_Code	Sample	Aberrant_Cell_Fraction(Purity)	Ploidy
BLCA	TCGA.FD.A3N6.01A.11D.A219.01	0.81	2.09851858392238
BLCA	TCGA.FD.A3NA.01A.11D.A219.01	0.41	3.51575236689496
BLCA	TCGA.FD.A3SJ.01A.12D.A22Y.01	0.4	3.57300765169702
BLCA	TCGA.FD.A3SL.01A.21D.A22Y.01	0.5	1.96351241713993
BLCA	TCGA.FD.A3SM.01A.11D.A22Y.01	0.44	3.83421767381525
BLCA	TCGA.FD.A3SN.01A.12D.A22Y.01	0.63	1.66083751624993
BLCA	TCGA.FD.A3SO.01A.11D.A22Y.01	0.52	1.81963730100951
BLCA	TCGA.FD.A3SP.01A.31D.A22Y.01	0.34	1.93757750126751
BLCA	TCGA.FD.A3SQ.01A.21D.A22Y.01	0.29	3.9076465325801
BLCA	TCGA.FD.A3SR.01A.11D.A22Y.01	0.49	3.04752004273711
BLCA	TCGA.FD.A3SS.01A.12D.A22Y.01	0.71	1.7793663513028
BLCA	TCGA.FD.A43P.01A.31D.A23T.01	0.35	4.18255841783852
BLCA	TCGA.FD.A43S.01A.21D.A23T.01	0.3	2.00016603943742
BLCA	TCGA.FD.A43U.01A.11D.A23T.01	0.35	1.86737835945261
BLCA	TCGA.FD.A43X.01A.11D.A23T.01	0.7	4.16292966869301
BLCA	TCGA.FD.A43Y.01A.21D.A26L.01	0.47	1.85805405111238
BLCA	TCGA.FD.A5BR.01A.11D.A26L.01	0.55	1.8204158538231
BLCA	TCGA.FD.A5BS.01A.21D.A26L.01	1	1.95968406970991
BLCA	TCGA.FD.A5BT.01A.11D.A26L.01	1	2.00638057905004
BLCA	TCGA.FD.A5BU.01A.31D.A26L.01	0.23	4.14319207764204
BLCA	TCGA.FD.A5BV.01A.11D.A26L.01	0.74	1.68063119420117
BLCA	TCGA.FD.A5BX.01A.11D.A26L.01	0.54	2.0903465559589
BLCA	TCGA.FD.A5BY.01A.31D.A288.01	0.64	1.79073588789728
BLCA	TCGA.FD.A5BZ.01A.11D.A288.01	0.39	3.98393360199514
BLCA	TCGA.FD.A5C0.01A.11D.A288.01	0.53	2.86375825546417
BLCA	TCGA.FD.A5C1.01A.11D.A288.01	1	2.47813804818698
BLCA	TCGA.FD.A62N.01A.11D.A30D.01	0.31	1.75244186259598
BLCA	TCGA.FD.A62O.01A.11D.A30D.01	0.71	3.47149647069015
BLCA	TCGA.FD.A62P.01A.32D.A30D.01	0.21	5.17268323618083
BLCA	TCGA.FD.A62S.01A.11D.A30D.01	0.39	2.42637094987331
BLCA	TCGA.FD.A6TF.01A.52D.A32A.01	0.28	3.39273047134653
BLCA	TCGA.FD.A6TG.01A.11D.A32A.01	0.27	4.85756592848532
BLCA	TCGA.FD.A6TH.01A.11D.A32A.01	0.64	3.47928810730035
BLCA	TCGA.FD.A6TI.01A.11D.A32A.01	0.38	4.59482267932121
BLCA	TCGA.FJ.A3Z7.01A.12D.A23L.01	0.4	3.79238628658629
BLCA	TCGA.FJ.A3Z9.01A.11D.A26L.01	0.91	1.97247577018143
BLCA	TCGA.FJ.A3ZE.01A.11D.A23L.01	0.8	1.65915213266273
BLCA	TCGA.FJ.A3ZF.01A.11D.A23L.01	0.64	3.5358386962961
BLCA	TCGA.FT.A3EE.01A.11D.A201.01	0.55	2.72722163821506
BLCA	TCGA.FT.A61P.01A.11D.A30D.01	0.29	4.23407784528568
BLCA	TCGA.G2.A2EC.01A.11D.A17S.01	0.52	1.94636093197547
BLCA	TCGA.G2.A2EF.01A.12D.A18E.01	0.56	3.13296926826587
BLCA	TCGA.G2.A2EJ.01A.11D.A17S.01	0.6	2.076761309146
BLCA	TCGA.G2.A2EK.01A.22D.A18E.01	0.49	2.04045031672439
BLCA	TCGA.G2.A2EL.01A.12D.A18E.01	0.85	1.77923029892097
